"date","hourly","txid","iso_symbol","time","value","currency","open","USD_value","EUR","USD","GBP","SGD","EUR_value","GBP_value","SGD_value","high.dt","time.dev.h"
2021-04-26,2021-04-26 15:00:00,"CF5E4DD87F2979EBE14C715AF6BF1307DC0DCF600EA9AAA10409B04EB223E751","XRP",2021-04-26 14:49:41,68.88,"XRP",1.22534,84.4014192,0.82778,1.00003,0.71968,1.32581,69.865806785376,60.742013369856,111.900245589552,2021-04-16 01:00:00,10.5833333333333
2021-04-26,2021-04-26 16:00:00,"226FD5518A2AE3501EAE7B449EAC28172D4FC07068D6FB5A66462CDDE9AAF248","XRP",2021-04-26 15:31:42,80,"XRP",1.24132,99.3056,0.82778,1.00003,0.71968,1.32581,82.203189568,71.468254208,131.660357536,2021-04-16 01:00:00,10.625
2021-04-26,2021-04-26 16:00:00,"B568B0294B05CBFE7418CAD0712F1A43F704C72C5C65971388391D20E0605C65","XRP",2021-04-26 16:16:01,1678.7828,"XRP",1.24132,2083.906665296,0.82778,1.00003,0.71968,1.32581,1725.01625939872,1499.74594888023,2762.86429591609,2021-04-16 01:00:00,10.625
2021-04-26,2021-04-26 16:00:00,"E55E656AA2B9D02FD822FA3A95E3FEDC0AE451831B40572F59CCA031C78AE066","XRP",2021-04-26 15:50:51,471.3848,"XRP",1.24132,585.139379936,0.82778,1.00003,0.71968,1.32581,484.366675923422,421.11310895234,775.783641312948,2021-04-16 01:00:00,10.625
2021-04-26,2021-04-26 18:00:00,"095BB514E3A52C5298D33B5F29BD7C9FF9357043A505608E926655EDA712CE2D","XRP",2021-04-26 18:19:50,161.5404,"XRP",1.23461,199.439393244,0.82778,1.00003,0.71968,1.32581,165.091940939518,143.532542529842,264.418741956828,2021-04-16 01:00:00,10.7083333333333
2021-04-26,2021-04-26 18:00:00,"2243799DF151993F2D9F43A5471ADDC44AFDB66530F91F2CC44AAF1A8D99079F","XRP",2021-04-26 17:42:12,96,"XRP",1.23461,118.52256,0.82778,1.00003,0.71968,1.32581,98.1106047168,85.2983159808,157.1383952736,2021-04-16 01:00:00,10.7083333333333
2021-04-26,2021-04-26 18:00:00,"3D39EB449D6148CFBF713F08702B85710031D4D543AF7A2AE8E5FAA8226590A8","XRP",2021-04-26 17:41:12,99.477988,"XRP",1.23461,122.81651876468,0.82778,1.00003,0.71968,1.32581,101.665057903027,88.3885922245649,162.8313687434,2021-04-16 01:00:00,10.7083333333333
2021-04-26,2021-04-26 18:00:00,"4376E49AED3ADA0FF20637B1279B296EB44A387FE3E22C4FB08A12B455770929","XRP",2021-04-26 18:07:21,58.9248,"XRP",1.23461,72.749147328,0.82778,1.00003,0.71968,1.32581,60.2202891751718,52.356106349015,96.4515470189357,2021-04-16 01:00:00,10.7083333333333
2021-04-26,2021-04-26 18:00:00,"4F0E68C51E49E78F16548A31559ADABF99CF013DF6860A09F63578C5AE7CD8BA","XRP",2021-04-26 18:23:50,441.7974,"XRP",1.23461,545.447488014,0.82778,1.00003,0.71968,1.32581,451.510521628229,392.547648173915,723.159734083841,2021-04-16 01:00:00,10.7083333333333
2021-04-26,2021-04-26 18:00:00,"592DF075902FADE59222A792567B7394A8C630311563BBFDFB70843D40A6EF38","XRP",2021-04-26 18:01:20,97.6,"XRP",1.23461,120.497936,0.82778,1.00003,0.71968,1.32581,99.74578146208,86.71995458048,159.75736852816,2021-04-16 01:00:00,10.7083333333333
2021-04-26,2021-04-26 18:00:00,"AFFD0D6F03B174B79BE050EE53C975DB5AD40EC1562CCDE5C368CA10E6CB89B5","XRP",2021-04-26 17:57:42,319.5012,"XRP",1.23461,394.459376532,0.82778,1.00003,0.71968,1.32581,326.525582705659,283.88452410255,522.978185999891,2021-04-16 01:00:00,10.7083333333333
2021-04-26,2021-04-26 19:00:00,"20F84FED96C9A5387DB8356BD44374764441A9F7009610F7A56FF6AAFBA03657","XRP",2021-04-26 18:30:30,44.532,"XRP",1.25648,55.95356736,0.82778,1.00003,0.71968,1.32581,46.3172439892608,40.2686633576448,74.1837991415616,2021-04-16 01:00:00,10.75
2021-04-26,2021-04-26 19:00:00,"70C80DC6551F0452641FDCCC838EB2073276419D47B8D9E216C06400EE5F146E","XRP",2021-04-26 19:03:42,162.9036,"XRP",1.25648,204.685115328,0.82778,1.00003,0.71968,1.32581,169.434244766212,147.307783799255,271.373572753016,2021-04-16 01:00:00,10.75
2021-04-26,2021-04-26 19:00:00,"B243D0995CEA197F7D662246B28D64F42DA8D03753790C4F282E52C397B9D765","XRP",2021-04-26 18:32:20,165.2,"XRP",1.25648,207.570496,0.82778,1.00003,0.71968,1.32581,171.82270517888,149.38433456128,275.19903930176,2021-04-16 01:00:00,10.75
2021-04-26,2021-04-26 19:00:00,"CB174E86B710D37B304B64F8F2F4C84514833D9BEDA6F47AE87CC70EA533073B","XRP",2021-04-26 19:29:21,44.1544,"XRP",1.25648,55.479120512,0.82778,1.00003,0.71968,1.32581,45.9245063774234,39.9272134500762,73.5547727660147,2021-04-16 01:00:00,10.75
2021-04-26,2021-04-26 19:00:00,"F073B6A08FB6792B321AE968291D06D70D4FCFFA599EC0B121A27E7058B78F8E","XRP",2021-04-26 19:07:02,130.2,"XRP",1.25648,163.593696,0.82778,1.00003,0.71968,1.32581,135.41958967488,117.73511113728,216.89415809376,2021-04-16 01:00:00,10.75
2021-04-26,2021-04-26 19:00:00,"FBD2CDBB5E592DCA047308992CEE3E391173445B1DC6EACD2539FB6A0A1DDF62","XRP",2021-04-26 18:56:21,43.2912,"XRP",1.25648,54.394526976,0.82778,1.00003,0.71968,1.32581,45.0267015401933,39.1466531740877,72.1168078100506,2021-04-16 01:00:00,10.75
